Date,Close,Open,High,Low,Volume,Change%
2020-02-18,191.51,190.96,192.82,190.27,15950,0.3
2020-02-17,190.93,190.32,191.95,189.96,16900,0.3
2020-02-14,190.36,188.6,191.19,188.6,19210,0.93
2020-02-13,188.6,188.59,189.39,187.03,23130,0.01
2020-02-12,188.59,183.69,189.24,183.64,27150,2.67
2020-02-11,183.69,181.7,183.75,181.0,16020,1.1
2020-02-10,181.7,183.25,183.39,180.4,17800,-0.85
2020-02-07,183.25,185.04,185.72,182.95,19740,-0.97
2020-02-06,185.04,178.1,185.04,178.1,21810,2.6
2020-02-05,180.35,177.18,180.99,177.17,24000,1.79
2020-02-04,177.18,177.1,178.97,174.92,19400,0.53
2020-02-03,176.24,177.95,177.95,169.92,46630,-0.96
2020-01-31,177.95,182.03,183.29,177.85,34780,-2.3
2020-01-30,182.13,187.01,187.01,180.49,22530,-2.61
2020-01-22,187.01,183.92,187.01,183.92,14230,1.68
2020-01-21,183.92,180.99,184.44,180.96,14300,1.38
2020-01-20,181.41,181.79,182.5,180.68,14350,-0.21
2020-01-17,181.79,183.09,184.03,181.77,12720,-0.71
2020-01-16,183.09,181.53,184.14,181.53,14850,0.86
2020-01-15,181.53,180.53,181.57,179.36,11720,0.55
2020-01-14,180.53,179.71,180.98,179.31,12090,0.46
2020-01-13,179.71,180.51,181.58,179.12,16720,-0.44
2020-01-10,180.51,178.59,180.86,177.74,22560,1.31
2020-01-09,178.18,176.85,179.74,176.81,13730,0.75
2020-01-08,176.85,178.82,179.84,176.56,19430,-0.95
2020-01-07,178.54,177.77,178.96,177.35,10900,0.43
2020-01-06,177.77,178.95,179.39,177.36,15810,-0.66
2020-01-03,178.95,180.77,181.59,178.73,13590,-1.01
2020-01-02,180.77,179.22,180.94,179.22,10790,0.84
2019-12-31,179.26,179.17,179.49,177.17,15690,0.29
2019-12-30,178.75,181.28,182.53,178.74,14790,-1.4
2019-12-27,181.28,180.24,181.36,179.67,12840,0.53
2019-12-26,180.33,181.11,181.36,179.7,10380,-0.43
2019-12-25,181.11,181.38,181.91,180.66,13360,-0.1
2019-12-24,181.3,181.0,181.61,179.94,9440,0.15
2019-12-23,181.03,181.51,182.53,180.64,17560,-0.26
2019-12-20,181.51,181.98,182.21,180.97,10050,-0.26
2019-12-19,181.98,181.31,182.27,180.53,11870,0.37
2019-12-18,181.31,183.08,183.39,180.97,15410,-0.97
